date,feed_gas,condensate,wpnb_gas,wpnb_oil,planned_shutdown,unplanned_shutdown,anomaly
2020-04-04,1353.19,5728.0,1370.82,6045.32,1,1,False
2020-04-05,1390.44,5854.0,1370.82,6045.32,1,1,False
2020-04-06,1310.34,5765.089655172413,1370.82,6045.32,1,0,True
2020-04-07,797.44,5765.089655172413,1370.82,6045.32,1,0,True
2020-04-08,1253.8,5325.0,1370.82,6045.32,1,1,False
2020-04-09,1324.7,5689.0,1370.82,6045.32,1,1,False
2020-04-10,1332.27,5856.0,1370.82,6045.32,1,1,False
2020-04-11,1328.42,5730.0,1370.82,6045.32,1,1,False
2020-04-12,1359.01,5745.0,1370.82,6045.32,1,1,False
2020-04-13,1397.5,5964.0,1370.82,6045.32,1,1,False
2020-04-14,1361.39,5800.0,1370.82,6045.32,1,1,False
2020-04-15,1392.36,5854.0,1370.82,6045.32,1,1,False
2020-04-16,1386.91,5928.0,1370.82,6045.32,1,1,False
2020-04-17,1399.01,5945.0,1370.82,6045.32,1,1,False
2020-04-18,1371.81,5839.0,1370.82,6045.32,1,1,False
2020-04-19,1396.73,5937.0,1370.82,6045.32,1,1,False
2020-04-20,1405.27,6010.0,1370.82,6045.32,1,1,False
2020-04-21,1384.51,5983.0,1370.82,6045.32,1,1,False
2020-04-22,1404.63,5975.0,1370.82,6045.32,1,1,False
2020-04-23,1324.85,5742.0,1370.82,6045.32,1,1,False
2020-04-24,1408.35,5864.0,1370.82,6045.32,1,1,False
2020-04-25,1407.63,6124.0,1370.82,6045.32,1,1,False
2020-04-26,1394.35,5981.0,1370.82,6045.32,1,1,False
2020-04-27,1386.48,5921.0,1370.82,6045.32,1,1,False
2020-04-28,1378.88,5902.0,1370.82,6045.32,1,1,False
2020-04-29,1390.75,5936.0,1370.82,6045.32,1,1,False
2020-04-30,1412.61,6085.0,1370.82,6045.32,1,1,False
2020-05-01,1419.42,6064.0,1370.82,6045.32,1,1,False
2020-05-02,1381.77,5938.0,1370.82,6045.32,1,1,False
2020-05-03,1383.82,5858.0,1370.82,6045.32,1,1,False
2020-05-04,1388.38,5938.0,1370.82,6045.32,1,1,False
2020-05-05,1402.77,5996.0,1370.82,6045.32,1,1,False
2020-05-06,1365.46,5798.0,1370.82,6045.32,1,1,False
2020-05-07,1371.93,5874.0,1370.82,6045.32,1,1,False
2020-05-08,1377.92,5848.0,1370.82,6045.32,1,1,False
2020-05-09,1379.06,5868.0,1370.82,6045.32,1,1,False
2020-05-10,1419.39,6028.0,1370.82,6045.32,1,1,False
2020-05-11,1440.13,6116.0,1370.82,6045.32,1,1,False
2020-05-12,1395.73,5910.0,1370.82,6045.32,1,1,False
2020-05-13,1391.38,5906.0,1370.82,6045.32,1,1,False
2020-05-14,1354.07,5722.0,1370.82,6045.32,1,1,False
2020-05-15,1352.44,5706.0,1370.82,6045.32,1,1,False
2020-05-16,1310.52,5550.0,1370.82,6045.32,1,1,False
2020-05-17,1345.83,5680.0,1370.82,6045.32,1,1,False
2020-05-18,1328.84,5797.0,1370.82,6045.32,1,1,False
2020-05-19,1393.54,5924.0,1370.82,6045.32,1,1,False
2020-05-20,1417.86,6040.0,1370.82,6045.32,1,1,False
2020-05-21,1372.69,5792.0,1370.82,6045.32,1,1,False
2020-05-22,1378.51,5820.0,1370.82,6045.32,1,1,False
2020-05-23,1441.6,6122.0,1370.82,6045.32,1,1,False
2020-05-24,1430.28,6062.0,1370.82,6045.32,1,1,False
2020-05-25,1396.54,5902.0,1370.82,6045.32,1,1,False
2020-05-26,1404.49,5986.0,1370.82,6045.32,1,1,False
2020-05-27,1403.47,5918.0,1370.82,6045.32,1,1,False
2020-05-28,1384.92,5902.0,1370.82,6045.32,1,1,False
2020-05-29,1396.36,5928.0,1370.82,6045.32,1,1,False
2020-05-30,1334.32,5670.0,1370.82,6045.32,1,1,False
2020-05-31,1358.16,5792.0,1370.82,6045.32,1,1,False
2020-06-01,1413.83,6002.0,1370.82,6045.32,1,1,False
2020-06-02,1402.59,6128.0,1370.82,6045.32,1,1,False
2020-06-03,1407.27,6196.0,1370.82,6045.32,1,1,False
2020-06-04,1422.64,6140.0,1370.82,6045.32,1,1,False
2020-06-05,1410.14,6257.0,1370.82,6045.32,1,1,False
2020-06-06,1403.47,6115.0,1370.82,6045.32,1,1,False
2020-06-07,1417.3,6059.0,1370.82,6045.32,1,1,False
2020-06-08,1407.7,6139.0,1370.82,6045.32,1,1,False
2020-06-09,1430.33,6329.0,1370.82,6045.32,1,1,False
2020-06-10,1405.56,6267.0,1370.82,6045.32,1,1,False
2020-06-11,1387.88,6069.0,1370.82,6045.32,1,1,False
2020-06-12,1411.13,6219.0,1370.82,6045.32,1,1,False
2020-06-13,1428.6,6329.0,1370.82,6045.32,1,1,False
2020-06-14,1410.0,6202.0,1370.82,6045.32,1,1,False
2020-06-15,1403.85,6194.0,1370.82,6045.32,1,1,False
2020-06-16,1442.89,6197.0,1370.82,6045.32,1,1,False
2020-06-17,1409.21,5963.0,1370.82,6045.32,1,1,False
2020-06-18,1377.71,6066.0,1370.82,6045.32,1,1,False
2020-06-19,1363.42,5958.0,1370.82,6045.32,1,1,False
2020-06-20,1411.48,5974.0,1370.82,6045.32,1,1,False
2020-06-21,1425.6,6002.0,1370.82,6045.32,1,1,False
2020-06-22,1421.51,6055.0,1370.82,6045.32,1,1,False
2020-06-23,1438.14,6177.0,1370.82,6045.32,1,1,False
2020-06-24,1429.55,6104.0,1370.82,6045.32,1,1,False
2020-06-25,1436.11,6156.0,1370.82,6045.32,1,1,False
2020-06-26,1442.82,6155.0,1370.82,6045.32,1,1,False
2020-06-27,1402.27,5990.0,1370.82,6045.32,1,1,False
2020-06-28,1426.39,6085.0,1370.82,6045.32,1,1,False
2020-06-29,1461.79,6207.0,1370.82,6045.32,1,1,False
2020-06-30,1429.72,4744.0,1370.82,6045.32,1,1,False
2020-07-01,1430.96,6204.0,818.99,3611.75,1,1,False
2020-07-02,1434.16,6172.0,818.99,3611.75,1,1,False
2020-07-03,1442.03,6274.0,818.99,3611.75,1,1,False
2020-07-04,1441.81,6274.0,818.99,3611.75,1,1,False
2020-07-05,1419.44,6193.0,818.99,3611.75,1,1,False
2020-07-06,1430.85,6312.0,818.99,3611.75,1,1,False
2020-07-07,1435.29,6076.0,818.99,3611.75,1,1,False
2020-07-08,1416.0,6154.0,818.99,3611.75,1,1,False
2020-07-09,1416.83,6046.0,818.99,3611.75,1,1,False
2020-07-10,1416.36,5950.0,818.99,3611.75,1,1,False
2020-07-11,1405.39,6022.0,818.99,3611.75,1,1,False
2020-07-12,1426.25,6163.0,818.99,3611.75,1,1,False
2020-07-13,1425.12,6210.0,818.99,3611.75,1,1,False
2020-07-14,1414.44,6068.0,818.99,3611.75,1,1,False
2020-07-15,1435.0,6121.0,818.99,3611.75,1,1,False
2020-07-16,1427.42,6118.0,818.99,3611.75,1,1,False
2020-07-17,1423.85,6048.0,818.99,3611.75,1,1,False
2020-07-18,1444.41,6190.0,818.99,3611.75,1,1,False
2020-07-19,1420.92,6089.0,818.99,3611.75,1,1,False
2020-07-20,1419.48,5961.0,818.99,3611.75,1,1,False
2020-07-21,1427.34,6002.0,818.99,3611.75,1,1,False
2020-07-22,1421.11,6005.0,818.99,3611.75,1,1,False
2020-07-23,1405.68,5925.0,818.99,3611.75,1,1,False
2020-07-24,1424.24,5989.0,818.99,3611.75,1,1,False
2020-07-25,1429.73,6012.0,818.99,3611.75,1,1,False
2020-07-26,1451.93,6031.0,818.99,3611.75,1,1,False
2020-07-27,1431.84,6197.0,818.99,3611.75,1,1,False
2020-07-28,1420.17,6053.0,818.99,3611.75,1,1,False
2020-07-29,1430.26,6109.0,818.99,3611.75,1,1,False
2020-07-30,1410.54,5967.0,818.99,3611.75,1,1,False
2020-07-31,1445.45,5950.0,818.99,3611.75,1,1,False
2020-08-01,1438.03,5952.0,1370.82,6045.32,1,1,False
2020-08-02,1445.23,5961.0,1370.82,6045.32,1,1,False
2020-08-03,1428.71,5965.0,1370.82,6045.32,1,1,False
2020-08-04,1439.6,5975.0,1370.82,6045.32,1,1,False
2020-08-05,1426.4,5814.0,1370.82,6045.32,1,1,False
2020-08-06,1433.64,6083.0,1370.82,6045.32,1,1,False
2020-08-07,1439.93,6099.0,1370.82,6045.32,1,1,False
2020-08-08,1430.03,6139.0,1370.82,6045.32,1,1,False
2020-08-09,1419.48,6078.0,1370.82,6045.32,1,1,False
2020-08-10,1436.33,6171.0,1370.82,6045.32,1,1,False
2020-08-11,1429.47,6117.0,1370.82,6045.32,1,1,False
2020-08-12,1403.49,6084.0,1370.82,6045.32,1,1,False
2020-08-13,1432.07,6178.0,1370.82,6045.32,1,1,False
2020-08-14,1436.37,6099.0,1370.82,6045.32,1,1,False
2020-08-15,1417.63,6015.0,1370.82,6045.32,1,1,False
2020-08-16,1396.29,5996.0,1370.82,6045.32,1,1,False
2020-08-17,1443.4,6074.0,1370.82,6045.32,1,1,False
2020-08-18,1412.89,5946.0,1370.82,6045.32,1,1,False
2020-08-19,1430.68,6019.0,1370.82,6045.32,1,1,False
2020-08-20,1426.58,6011.0,1370.82,6045.32,1,1,False
2020-08-21,1433.16,6139.0,1370.82,6045.32,1,1,False
2020-08-22,1426.05,6146.0,1370.82,6045.32,1,1,False
2020-08-23,1427.53,6194.0,1370.82,6045.32,1,1,False
2020-08-24,1436.09,6170.0,1370.82,6045.32,1,1,False
2020-08-25,1429.28,6051.0,1370.82,6045.32,1,1,False
2020-08-26,1422.55,6146.0,1370.82,6045.32,1,1,False
2020-08-27,1420.84,6075.0,1370.82,6045.32,1,1,False
2020-08-28,1402.62,5935.0,1370.82,6045.32,1,1,False
2020-08-29,1436.09,6252.0,1370.82,6045.32,1,1,False
2020-08-30,1425.84,6121.0,1370.82,6045.32,1,1,False
2020-08-31,1407.56,6078.0,1370.82,6045.32,1,1,False
2020-09-01,1388.17,5950.0,1370.82,6045.32,1,1,False
2020-09-02,1455.19,6038.0,1370.82,6045.32,1,1,False
2020-09-03,1426.32,6022.0,1370.82,6045.32,1,1,False
2020-09-04,1423.51,6050.0,1370.82,6045.32,1,1,False
2020-09-05,1419.56,6029.0,1370.82,6045.32,1,1,False
2020-09-06,1416.61,6012.0,1370.82,6045.32,1,1,False
2020-09-07,1424.3,6005.0,1370.82,6045.32,1,1,False
2020-09-08,1412.86,6008.0,1370.82,6045.32,1,1,False
2020-09-09,1428.86,6004.0,1370.82,6045.32,1,1,False
2020-09-10,1425.51,6029.0,1370.82,6045.32,1,1,False
2020-09-11,1380.78,5911.0,1370.82,6045.32,1,1,False
2020-09-12,1401.69,5933.0,1370.82,6045.32,1,1,False
2020-09-13,1427.29,5973.0,1370.82,6045.32,1,1,False
2020-09-14,1010.87,5906.947523768979,1370.82,6045.32,1,0,True
2020-09-15,874.28,5906.947523768979,1370.82,6045.32,1,0,True
2020-09-16,1375.21,5969.0,1370.82,6045.32,1,1,False
2020-09-17,1425.93,5980.0,1370.82,6045.32,1,1,False
2020-09-18,1401.44,5914.0,1370.82,6045.32,1,1,False
2020-09-19,1404.06,5907.0,1370.82,6045.32,1,1,False
2020-09-20,1414.36,5910.0,1370.82,6045.32,1,1,False
2020-09-21,1404.81,5907.0,1370.82,6045.32,1,1,False
2020-09-22,1399.97,5901.0,1370.82,6045.32,1,1,False
2020-09-23,1419.78,5909.0,1370.82,6045.32,1,1,False
2020-09-24,1423.71,5908.0,1370.82,6045.32,1,1,False
2020-09-25,1413.22,5901.0,1370.82,6045.32,1,1,False
2020-09-26,1412.98,6003.0,1370.82,6045.32,1,1,False
2020-09-27,1429.05,6204.0,1370.82,6045.32,1,1,False
2020-09-28,1438.52,6140.0,1370.82,6045.32,1,1,False
2020-09-29,1426.14,6019.0,1370.82,6045.32,1,1,False
2020-09-30,1429.43,6005.0,1370.82,6045.32,1,1,False
2020-10-01,1442.62,6061.0,1370.82,6045.32,1,1,False
2020-10-02,1406.79,5903.0,1370.82,6045.32,1,1,False
2020-10-03,1443.02,6061.0,1370.82,6045.32,1,1,False
2020-10-04,1446.44,6074.0,1370.82,6045.32,1,1,False
2020-10-05,1414.73,5942.0,1370.82,6045.32,1,1,False
2020-10-06,1412.26,5932.0,1370.82,6045.32,1,1,False
2020-10-07,1413.64,5937.0,1370.82,6045.32,1,1,False
2020-10-08,1437.22,6036.0,1370.82,6045.32,1,1,False
2020-10-09,1407.91,5913.0,1370.82,6045.32,1,1,False
2020-10-10,1391.38,5844.0,1370.82,6045.32,1,1,False
2020-10-11,1408.1,5914.0,1370.82,6045.32,1,1,False
2020-10-12,1171.03,5031.0,1370.82,6045.32,0,1,False
2020-10-13,758.94,3263.0,1370.82,6045.32,0,1,False
2020-10-14,721.27,3002.0,1370.82,6045.32,0,1,False
2020-10-15,706.39,2860.0,1370.82,6045.32,0,1,False
2020-10-16,709.0,3002.0,1370.82,6045.32,0,1,False
2020-10-17,705.92,2965.0,1370.82,6045.32,0,1,False
2020-10-18,695.93,2923.0,1370.82,6045.32,0,1,False
2020-10-19,687.16,2886.0,1370.82,6045.32,0,1,False
2020-10-20,694.75,3026.0,1370.82,6045.32,0,1,False
2020-10-21,713.67,3154.0,1370.82,6045.32,0,1,False
2020-10-22,702.3,3022.0,1370.82,6045.32,0,1,False
2020-10-23,685.69,3028.0,1370.82,6045.32,0,1,False
2020-10-24,690.69,2898.0,1370.82,6045.32,0,1,False
2020-10-25,704.93,2908.0,1370.82,6045.32,0,1,False
2020-10-26,708.63,2922.0,1370.82,6045.32,0,1,False
2020-10-27,716.04,2985.0,1370.82,6045.32,0,1,False
2020-10-28,743.24,2983.0,1370.82,6045.32,0,1,False
2020-10-29,765.09,3526.0,1370.82,6045.32,0,1,False
2020-10-30,786.37,3572.0,1370.82,6045.32,0,1,False
2020-10-31,785.59,3580.0,1370.82,6045.32,0,1,False
2020-11-01,827.07,3706.0,1370.82,6045.32,0,1,False
2020-11-02,874.2,3714.0,1370.82,6045.32,0,1,False
2020-11-03,1258.55,5212.0,1370.82,6045.32,1,1,False
2020-11-04,1375.5,5644.0,1370.82,6045.32,1,1,False
2020-11-05,1399.39,5846.0,1370.82,6045.32,1,1,False
2020-11-06,1414.88,5941.0,1370.82,6045.32,1,1,False
2020-11-07,1411.12,6006.0,1370.82,6045.32,1,1,False
2020-11-08,1366.03,5980.0,1370.82,6045.32,1,1,False
2020-11-09,1348.22,5963.0,1370.82,6045.32,1,1,False
2020-11-10,1339.68,5953.0,1370.82,6045.32,1,1,False
2020-11-11,1360.04,5933.0,1370.82,6045.32,1,1,False
2020-11-12,1419.39,6016.0,1370.82,6045.32,1,1,False
2020-11-13,1388.67,5974.0,1370.82,6045.32,1,1,False
2020-11-14,1414.77,6025.0,1370.82,6045.32,1,1,False
2020-11-15,1396.29,6015.0,1370.82,6045.32,1,1,False
2020-11-16,1399.35,6020.0,1370.82,6045.32,1,1,False
